relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106586,2026-06-22T15:40:18.222375+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"C, C++, Rtos","R, Zephyr, Freelancer, Linux",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-device-treiber-entwicklung-zephyr-linux-m-w-d-106559,2026-06-22T15:40:18.222518+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Großraum München",On-site,Freelance,"C, C++","C#, Expert, R, Freelancer, Lead, Matlab",German,"Expert, Freelancer, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-106513,2026-06-22T15:40:18.222928+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, und Niederlassungen deutschlandweit",On-site,Freelance,,"Project Manager, Senior, R, Google Cloud",German,"Senior, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/einfuehrungsprojekt-google-cloud-m-w-d-106445,2026-06-22T15:40:18.223202+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,Hil,"R, Expert",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-eo-ir-sensing-sensorsysteme-m-w-d-106410,2026-06-22T15:40:18.223388+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Github Actions, Java, Jenkins, Python","Github, Kubernetes, R, Groovy, Freelancer, Devops, Linux",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106052,2026-06-22T15:44:21.689133+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, GR Stuttgart/ Böblingen",Remote,Freelance,Can,"Junior, R, Confluence, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-automotive-systemtestaufbau-testbench-built-up-2-person-en-m-w-d-106602,2026-06-22T15:38:17.395214+00:00
0,Tester | Germany,solcom,Se­ni­or Test Au­to­ma­ti­on En­gi­neer E-Mo­bi­li­ty  (Teil­zeit) (m/w/d),SOLCOM Client,"Remote, Europaweit",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-test-automation-engineer-e-mobility-teilzeit-m-w-d-106553,2026-06-22T15:38:17.395419+00:00
0,Tester | Germany,solcom,"Va­li­da­ti­on, Ve­ri­fi­ca­ti­on & Re­qui­re­ments En­gi­neer (m/w/d)",SOLCOM Client,"D2, 50% Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/validation-verification-requirements-engineer-m-w-d-1015582,2026-06-22T15:38:17.395605+00:00
0,Tester | Germany,solcom,"Fach­ex­per­te Schutz- und Leit­tech­nik / Se­kun­där­tech­nik HVDC, SYS41 (m/w/d)",SOLCOM Client,"Remote, ggf. vereinzelt Termine vor Ort",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachexperte-schutz-und-leittechnik-sekundaertechnik-hvdc-sys41-m-w-d-106359,2026-06-22T15:38:17.396775+00:00
0,Test Engineer | Germany,solcom,Fea­ture Team Pro­duct Owner - Power Dis­tri­bu­ti­on (m/w/d),SOLCOM Client,"D5, Lippstadt",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/feature-team-product-owner-power-distribution-m-w-d-106619,2026-06-22T15:40:18.222253+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer - PLC USA (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-usa-m-w-d-106540,2026-06-22T15:40:18.222729+00:00
