relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,,"R, Azure, Lead, Devops",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-lead-tester-energiedatenmanagement-m-w-d-106076,2026-06-01T16:22:15.078621+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,Remote,Freelance,"C, Embedded Linux, Rtos, Rust","Freelancer, R, Linux, Scrum, Vxworks",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-rust-avionik-fuer-satelliten-m-w-d-106227,2026-06-01T16:24:21.633835+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/thermal-design-engineer-cfd-thermo-mechanical-simulation-uav-systems-m-w-d-106149,2026-06-01T16:24:21.634038+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106096,2026-06-01T16:24:21.634296+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Github Actions, Java, Jenkins, Python","Github, Freelancer, R, Devops, Kubernetes, Linux, Groovy",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106052,2026-06-01T16:24:21.634630+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Jira, Senior, Confluence",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105686,2026-06-01T16:24:21.635224+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Großraum München",On-site,Freelance,"C, C++","Matlab, Freelancer, R, Lead, C#, Expert",German,"Expert, Freelancer, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-06-01T16:24:21.635389+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Consultant, Lead",German,"Consultant, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-consultant-marketing-automation-marketing-technology-transformation-b2c-m-w-d-105944,2026-06-01T16:26:30.187527+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,Sil,"R, Matlab, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verfahrensingenieur-petrochemie-m-w-d-1015434,2026-06-01T16:22:15.078766+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/rockwell-programmierer-m-w-d-1014852,2026-06-01T16:22:15.078858+00:00
0,Tester | Germany,solcom,HIL Tes­ter im Be­reich E/E (m/w/d),SOLCOM Client,"D3, Großraum Wolfsburg",On-site,Freelance,Hil,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-105721,2026-06-01T16:22:15.078945+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-06-01T16:22:15.079034+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauleiter-hvac-m-w-d-1015500,2026-06-01T16:24:21.633949+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - Me­cha­tro­nik/ Sys­tem In­te­gra­ti­on (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-mechatronik-system-integration-m-w-d-106144,2026-06-01T16:24:21.634124+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - Pa­cka­ging & Human Fac­tors/ Rug­ge­di­zed UAV Sys­tems (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-packaging-human-factors-ruggedized-uav-systems-m-w-d-106109,2026-06-01T16:24:21.634212+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - Ki­ne­ma­tics & Me­cha­nism De­sign (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-kinematics-mechanism-design-m-w-d-106091,2026-06-01T16:24:21.634381+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/structural-dynamics-engineer-vibration-modal-analysis-uav-aerospace-systems-m-w-d-106085,2026-06-01T16:24:21.634463+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/stress-engineer-structural-mechanics-festigkeitsberechnung-uav-aerospace-structures-m-w-d-106084,2026-06-01T16:24:21.634546+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote/Biberach",Remote,Freelance,"C, C++, Can, Java","R, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-m-w-d-106030,2026-06-01T16:24:21.634727+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Nordschweiz",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektingenieur-leittechnik-unter-umspannwerke-energieanlagen-m-w-d-106029,2026-06-01T16:24:21.634811+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/netzwerk-ingenieur-windpark-controller-scada-m-w-d-105945,2026-06-01T16:24:21.634894+00:00
0,Test Engineer | Germany,solcom,Com­mis­sio­ning of bio­gas plants (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/commissioning-of-biogas-plants-m-w-d-105822,2026-06-01T16:24:21.634978+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,"Can, I2C, Shell, Uart","Jira, Express, Soc, Confluence",English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-105774,2026-06-01T16:24:21.635062+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Braunschweig / Remote,Remote,Freelance,Javascript,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/spezialist-fuer-adobe-acroba-m-w-d-1014770,2026-06-01T16:24:21.635142+00:00
